| min_x | final_x | max_x | max_abs_x | min_y | final_y | max_y | max_abs_y |
| -61 | 147 | 152 | 152 | -37 | -15 | 30 | 37 |
| -30 | -9 | 28 | 30 | -39 | 113 | 118 | 118 |
| -17 | 18 | 38 | 38 | -14 | 16 | 34 | 34 |
| -84 | -41 | 9 | 84 | -12 | 53 | 93 | 93 |
| -71 | -44 | 63 | 71 | -96 | -92 | 40 | 96 |
| -78 | -24 | 11 | 78 | -121 | -64 | 19 | 121 |
| -41 | 28 | 40 | 41 | -8 | 88 | 147 | 147 |
| -79 | -76 | 98 | 98 | -79 | -46 | 29 | 79 |
| -4 | 194 | 198 | 198 | -48 | -4 | 32 | 48 |
| -62 | 49 | 56 | 62 | -45 | 25 | 68 | 68 |
| -85 | 2 | 12 | 85 | -53 | -46 | 22 | 53 |
| -50 | -2 | 3 | 50 | -17 | 152 | 197 | 197 |
| -48 | -15 | 34 | 48 | -16 | 55 | 99 | 99 |
| -74 | -17 | 36 | 74 | -79 | -43 | 8 | 79 |
| -181 | -177 | 12 | 181 | -47 | 61 | 69 | 69 |
| -9 | 12 | 63 | 63 | -9 | 102 | 109 | 109 |
| -104 | -104 | 3 | 104 | -48 | 12 | 29 | 48 |
| -35 | 21 | 53 | 53 | -3 | 43 | 86 | 86 |
| -29 | 70 | 71 | 71 | -91 | -78 | 69 | 91 |
| -46 | -42 | 47 | 47 | -80 | -70 | 63 | 80 |
| -71 | 63 | 79 | 79 | -88 | -25 | 12 | 88 |
| -66 | -22 | 34 | 66 | -63 | 80 | 94 | 94 |
| -147 | -127 | 1 | 147 | -43 | 51 | 53 | 53 |
| -181 | -139 | 2 | 181 | -95 | -83 | 2 | 95 |
| -149 | -133 | 12 | 149 | -43 | -35 | 47 | 47 |
| -19 | 95 | 110 | 110 | -38 | 35 | 64 | 64 |
| -10 | 69 | 83 | 83 | -59 | -39 | 103 | 103 |
| -103 | 23 | 26 | 103 | -98 | -83 | 45 | 98 |
| -140 | -137 | 11 | 140 | -84 | -71 | 50 | 84 |
| -106 | -99 | 9 | 106 | -46 | 5 | 36 | 46 |
| -15 | 90 | 110 | 110 | -67 | -48 | 27 | 67 |
| -85 | -28 | 2 | 85 | -59 | -22 | 56 | 59 |
| -125 | -122 | 56 | 125 | -58 | -40 | 20 | 58 |
| -99 | -20 | 10 | 99 | -10 | 92 | 101 | 101 |
| -66 | -64 | 18 | 66 | -17 | 42 | 63 | 63 |
| -49 | 10 | 83 | 83 | -39 | 60 | 64 | 64 |
| -142 | -138 | 6 | 142 | -87 | -68 | 15 | 87 |
| -31 | -11 | 33 | 33 | -32 | 5 | 44 | 44 |
| -37 | 32 | 41 | 41 | -13 | 106 | 121 | 121 |
| -59 | 16 | 53 | 59 | -6 | 100 | 114 | 114 |
| -99 | -44 | 5 | 99 | -11 | 30 | 99 | 99 |
| -100 | -29 | 33 | 100 | -12 | 49 | 64 | 64 |
| -109 | -86 | 2 | 109 | -72 | 12 | 20 | 72 |
| -6 | 91 | 96 | 96 | -30 | 139 | 148 | 148 |
| -7 | 92 | 112 | 112 | -12 | 18 | 58 | 58 |
| -88 | -48 | 6 | 88 | -125 | -112 | 1 | 125 |
| -23 | 81 | 142 | 142 | -48 | -33 | 18 | 48 |
| -124 | -123 | 18 | 124 | -23 | -13 | 31 | 31 |
| -58 | 15 | 36 | 58 | -68 | -11 | 22 | 68 |
| -46 | -26 | 31 | 46 | -234 | -220 | 1 | 234 |
| -48 | -16 | 28 | 48 | -80 | -28 | 19 | 80 |
| -62 | -40 | 32 | 62 | -5 | 88 | 94 | 94 |
| -164 | -131 | 25 | 164 | -117 | -93 | 3 | 117 |
| -97 | -58 | 23 | 97 | -65 | -30 | 29 | 65 |
| -14 | 30 | 68 | 68 | -55 | -32 | 26 | 55 |
| -123 | -105 | 6 | 123 | -128 | -79 | 14 | 128 |
| -6 | 43 | 89 | 89 | -47 | 73 | 85 | 85 |
| -26 | 16 | 56 | 56 | -83 | -66 | 8 | 83 |
| -28 | 30 | 53 | 53 | -112 | -92 | 18 | 112 |
| -100 | -99 | 16 | 100 | -53 | -49 | 55 | 55 |
| -54 | -22 | 59 | 59 | -17 | 72 | 73 | 73 |
| -37 | 92 | 95 | 95 | -128 | -108 | 17 | 128 |
| -41 | -30 | 28 | 41 | -134 | -122 | 9 | 134 |
| -36 | -20 | 56 | 56 | -80 | -64 | 17 | 80 |
| -125 | -99 | 3 | 125 | -53 | 3 | 58 | 58 |
| -61 | 16 | 19 | 61 | -8 | 46 | 96 | 96 |
| -117 | -94 | 1 | 117 | -90 | -48 | 21 | 90 |
| -67 | -36 | 1 | 67 | -75 | -68 | 11 | 75 |
| -70 | 21 | 53 | 70 | -114 | -71 | 43 | 114 |
| -12 | 72 | 76 | 76 | -17 | 18 | 62 | 62 |
| -81 | -46 | 0 | 81 | -12 | 92 | 94 | 94 |
| -16 | 88 | 99 | 99 | -78 | -62 | 25 | 78 |
| -148 | -125 | 10 | 148 | -78 | -57 | 34 | 78 |
| -145 | -96 | 31 | 145 | -15 | 42 | 53 | 53 |
| -40 | 59 | 89 | 89 | -31 | 15 | 25 | 31 |
| -57 | -40 | 28 | 57 | -106 | -98 | 6 | 106 |
| -2 | 110 | 145 | 145 | -13 | 20 | 63 | 63 |
| -83 | -82 | 39 | 83 | -4 | 74 | 77 | 77 |
| -102 | 12 | 19 | 102 | -11 | 106 | 130 | 130 |
| 0 | 157 | 188 | 188 | -173 | -165 | 0 | 173 |
| -90 | -20 | 17 | 90 | -75 | -56 | 28 | 75 |
| -31 | 1 | 72 | 72 | -61 | 39 | 54 | 61 |
| -26 | 30 | 35 | 35 | -96 | -68 | 3 | 96 |
| -149 | -140 | 20 | 149 | -96 | -20 | -1 | 96 |
| -53 | -26 | 12 | 53 | -87 | -68 | 51 | 87 |
| -3 | 28 | 115 | 115 | -27 | 0 | 58 | 58 |
| -6 | 4 | 57 | 57 | -28 | 134 | 148 | 148 |
| -50 | -6 | 24 | 50 | -33 | -2 | 83 | 83 |
| -120 | -104 | 29 | 120 | -22 | 60 | 90 | 90 |
| -117 | -55 | 0 | 117 | -47 | -15 | 7 | 47 |
| -12 | 77 | 86 | 86 | -60 | -25 | 34 | 60 |
| -7 | 75 | 121 | 121 | -205 | -93 | 0 | 205 |
| -26 | 92 | 101 | 101 | -41 | 6 | 65 | 65 |
| -139 | -134 | 17 | 139 | -18 | 90 | 128 | 128 |
| -104 | -67 | 13 | 104 | -103 | -61 | 5 | 103 |
| -19 | 33 | 57 | 57 | -26 | 107 | 107 | 107 |
| -28 | 2 | 61 | 61 | -6 | 4 | 101 | 101 |
| -222 | -164 | 19 | 222 | -35 | -22 | 35 | 35 |
| -21 | 36 | 105 | 105 | -50 | -34 | 51 | 51 |
| -19 | 18 | 72 | 72 | -59 | -24 | 34 | 59 |
| -35 | -16 | 76 | 76 | -6 | 36 | 119 | 119 |
| -12 | 113 | 124 | 124 | -108 | -47 | 2 | 108 |
| -136 | -127 | 5 | 136 | -53 | -27 | 37 | 53 |
| -11 | 64 | 118 | 118 | -139 | -110 | 21 | 139 |
| -60 | -9 | 15 | 60 | -29 | -19 | 41 | 41 |
| -7 | 77 | 89 | 89 | -80 | 11 | 36 | 80 |
| -12 | 80 | 137 | 137 | -11 | 106 | 121 | 121 |
| -30 | 24 | 46 | 46 | -78 | -30 | 22 | 78 |
| -65 | 1 | 33 | 65 | -127 | -121 | 28 | 127 |
| -29 | -6 | 64 | 64 | -17 | 12 | 110 | 110 |
| -71 | -35 | 17 | 71 | -89 | -51 | 39 | 89 |
| -3 | 125 | 211 | 211 | -66 | 75 | 90 | 90 |
| -12 | 71 | 107 | 107 | -57 | -47 | 59 | 59 |
| -53 | 69 | 69 | 69 | -4 | 123 | 161 | 161 |
| -60 | -36 | 43 | 60 | -23 | -10 | 64 | 64 |
| -4 | 68 | 114 | 114 | -6 | 98 | 112 | 112 |
| -51 | -49 | 23 | 51 | -126 | 13 | 16 | 126 |
| -20 | 36 | 78 | 78 | -36 | 50 | 76 | 76 |
| 0 | 47 | 130 | 130 | -103 | -29 | 2 | 103 |
| -106 | -46 | 5 | 106 | -102 | -48 | 3 | 102 |
| -32 | 31 | 106 | 106 | -9 | 37 | 56 | 56 |
| -4 | 143 | 168 | 168 | -18 | 105 | 127 | 127 |
| -41 | 14 | 46 | 46 | -68 | -36 | 37 | 68 |
| -17 | 35 | 52 | 52 | -4 | 49 | 88 | 88 |
| -94 | -75 | 23 | 94 | -55 | -9 | 25 | 55 |
| -150 | -100 | 1 | 150 | -2 | 106 | 108 | 108 |
| -13 | 39 | 84 | 84 | -18 | 105 | 134 | 134 |
| -40 | 93 | 104 | 104 | -9 | -1 | 97 | 97 |
| -95 | -80 | 29 | 95 | -28 | 6 | 45 | 45 |
| -57 | 0 | 40 | 57 | -87 | -40 | 14 | 87 |
| -9 | 107 | 115 | 115 | -14 | 149 | 167 | 167 |
| -4 | 81 | 101 | 101 | -8 | -5 | 77 | 77 |
| -2 | 174 | 188 | 188 | -41 | 44 | 49 | 49 |
| -31 | -29 | 47 | 47 | -11 | 89 | 100 | 100 |
| -71 | -58 | 29 | 71 | -62 | -2 | 50 | 62 |
| -71 | -41 | 8 | 71 | -37 | 9 | 56 | 56 |
| -68 | -62 | 44 | 68 | -9 | 82 | 92 | 92 |
| -143 | -109 | 1 | 143 | -106 | -65 | 1 | 106 |
| 0 | 118 | 123 | 123 | -88 | -58 | 22 | 88 |
| -40 | 13 | 22 | 40 | -33 | 39 | 39 | 39 |
| -18 | 91 | 96 | 96 | -5 | 161 | 167 | 167 |
| -51 | 37 | 53 | 53 | -23 | 21 | 65 | 65 |
| -29 | 27 | 77 | 77 | -157 | -115 | 34 | 157 |
| -25 | 36 | 58 | 58 | -3 | 28 | 89 | 89 |
| -26 | 10 | 73 | 73 | -122 | -40 | 22 | 122 |
| -3 | 19 | 73 | 73 | -15 | 27 | 47 | 47 |
| -82 | -73 | 31 | 82 | -30 | 107 | 113 | 113 |
| -9 | 105 | 111 | 111 | -44 | -9 | 58 | 58 |
| -69 | -10 | 14 | 69 | -8 | 126 | 146 | 146 |
| -22 | -11 | 51 | 51 | -89 | -55 | 3 | 89 |
| -14 | 44 | 103 | 103 | -22 | 62 | 83 | 83 |
| -34 | 25 | 32 | 34 | -139 | -139 | 26 | 139 |
| -40 | 86 | 91 | 91 | -39 | 2 | 37 | 39 |
| -6 | 56 | 71 | 71 | -3 | 40 | 57 | 57 |
| -105 | -86 | 4 | 105 | -85 | -50 | 10 | 85 |
| -60 | -22 | 20 | 60 | -66 | -48 | 51 | 66 |
| -68 | -16 | 37 | 68 | -35 | -8 | 17 | 35 |
| -33 | 62 | 84 | 84 | -19 | 42 | 68 | 68 |
| -65 | -43 | 17 | 65 | -69 | -69 | 33 | 69 |
| -53 | -16 | 20 | 53 | -21 | 48 | 97 | 97 |
| -43 | -31 | 26 | 43 | -113 | -73 | 2 | 113 |
| -77 | -18 | 25 | 77 | 0 | 88 | 170 | 170 |
| -25 | -4 | 32 | 32 | -31 | 74 | 80 | 80 |
| -26 | 18 | 41 | 41 | -10 | 80 | 142 | 142 |
| -45 | 31 | 57 | 57 | -76 | -35 | 1 | 76 |
| -36 | -35 | 51 | 51 | -17 | 57 | 69 | 69 |
| -66 | 6 | 26 | 66 | -87 | -82 | 34 | 87 |
| -80 | -79 | 21 | 80 | -190 | -145 | 11 | 190 |
| -146 | -105 | 2 | 146 | -38 | 9 | 39 | 39 |
| -45 | -15 | 25 | 45 | -79 | -61 | 37 | 79 |
| -1 | 84 | 108 | 108 | -23 | -14 | 66 | 66 |
| -92 | -86 | 18 | 92 | -8 | 16 | 103 | 103 |
| -17 | 109 | 127 | 127 | -18 | 53 | 83 | 83 |
| -91 | -81 | 93 | 93 | -71 | -11 | 48 | 71 |
| -23 | -10 | 73 | 73 | -6 | 46 | 72 | 72 |
| -90 | -40 | 0 | 90 | -38 | -14 | 63 | 63 |
| -96 | 6 | 20 | 96 | -66 | -66 | 31 | 66 |
| 0 | 80 | 82 | 82 | -59 | -12 | 39 | 59 |
| -1 | 78 | 86 | 86 | -82 | -60 | 15 | 82 |
| -66 | -62 | 49 | 66 | -20 | 20 | 49 | 49 |
| -4 | 62 | 75 | 75 | -21 | 20 | 50 | 50 |
| -65 | -26 | 21 | 65 | -28 | 30 | 57 | 57 |
| -5 | 12 | 109 | 109 | -95 | -86 | 34 | 95 |
| -37 | 41 | 47 | 47 | -79 | -43 | 6 | 79 |
| -116 | -113 | 13 | 116 | -38 | 3 | 47 | 47 |
| -48 | -48 | 35 | 48 | -47 | 2 | 43 | 47 |
| -115 | -63 | 6 | 115 | -63 | -13 | 65 | 65 |
| -21 | 47 | 81 | 81 | -11 | 29 | 72 | 72 |
| -57 | -24 | 38 | 57 | -157 | -154 | 6 | 157 |
| -130 | -36 | 5 | 130 | -54 | -38 | 22 | 54 |
| -54 | -43 | 62 | 62 | -106 | -73 | 36 | 106 |
| -103 | -46 | 6 | 103 | -122 | -116 | 32 | 122 |
| -8 | 68 | 91 | 91 | -11 | 112 | 128 | 128 |
| -109 | 40 | 57 | 109 | -24 | 2 | 46 | 46 |
| -79 | -43 | 22 | 79 | -20 | 59 | 114 | 114 |
| -23 | 29 | 132 | 132 | -78 | 19 | 35 | 78 |
| -16 | 70 | 78 | 78 | -54 | 44 | 73 | 73 |
| -56 | 16 | 40 | 56 | -45 | 82 | 90 | 90 |
| -20 | 40 | 63 | 63 | -61 | 68 | 72 | 72 |
| -28 | 61 | 130 | 130 | -26 | 83 | 89 | 89 |
| -111 | -79 | 3 | 111 | -69 | 19 | 35 | 69 |
| -74 | -31 | 21 | 74 | -32 | 61 | 74 | 74 |
| -83 | -68 | 1 | 83 | -104 | -38 | 10 | 104 |
| -5 | 17 | 92 | 92 | -4 | 67 | 106 | 106 |
| -40 | 2 | 43 | 43 | -87 | -52 | 14 | 87 |
| -54 | 11 | 67 | 67 | -108 | -101 | 23 | 108 |
| -43 | 38 | 51 | 51 | -140 | -110 | 29 | 140 |
| -39 | 13 | 46 | 46 | -96 | -73 | 25 | 96 |
| -5 | 139 | 157 | 157 | -69 | -23 | 11 | 69 |
| -94 | -91 | 19 | 94 | -81 | 3 | 35 | 81 |
| -120 | -98 | 1 | 120 | -54 | -6 | 44 | 54 |
| -126 | -98 | 5 | 126 | -59 | -20 | 33 | 59 |
| -66 | 66 | 77 | 77 | -14 | 98 | 125 | 125 |
| -194 | -178 | 20 | 194 | -32 | 0 | 98 | 98 |
| -19 | 30 | 81 | 81 | -42 | 16 | 41 | 42 |
| -145 | -69 | 34 | 145 | -93 | -93 | 33 | 93 |
| -53 | -39 | 63 | 63 | -119 | -91 | 4 | 119 |
| -22 | 8 | 62 | 62 | -80 | -22 | 42 | 80 |
| -19 | 8 | 82 | 82 | -102 | -100 | 3 | 102 |
| -104 | -35 | 39 | 104 | -48 | 93 | 96 | 96 |
| -18 | 18 | 50 | 50 | -148 | -110 | 14 | 148 |
| -21 | 51 | 81 | 81 | -42 | 45 | 66 | 66 |
| -13 | 37 | 85 | 85 | -95 | -29 | 10 | 95 |
| -52 | -18 | 87 | 87 | -10 | 38 | 117 | 117 |
| -43 | 5 | 40 | 43 | -50 | -43 | 53 | 53 |
| -21 | -21 | 50 | 50 | -33 | 31 | 58 | 58 |
| -54 | -46 | 39 | 54 | -112 | -106 | 13 | 112 |
| -18 | 50 | 60 | 60 | -25 | 0 | 71 | 71 |
| -32 | 16 | 58 | 58 | -142 | -118 | 39 | 142 |
| -15 | 4 | 67 | 67 | -22 | 88 | 98 | 98 |
| -117 | -116 | 1 | 117 | -17 | 148 | 155 | 155 |
| -66 | 7 | 41 | 66 | -28 | -21 | 70 | 70 |
| -89 | -81 | 13 | 89 | -116 | 17 | 34 | 116 |
| -25 | 51 | 54 | 54 | -22 | 53 | 80 | 80 |
| -58 | -52 | 33 | 58 | -104 | -52 | 20 | 104 |
| -29 | 63 | 69 | 69 | -107 | -83 | 38 | 107 |
| -108 | -42 | 21 | 108 | -17 | 80 | 108 | 108 |
| -148 | -55 | 11 | 148 | -7 | 79 | 97 | 97 |
| -5 | 29 | 57 | 57 | -41 | 19 | 48 | 48 |
| -87 | 11 | 59 | 87 | -69 | 13 | 21 | 69 |
| -42 | -29 | 33 | 42 | -28 | 83 | 131 | 131 |
| -90 | -70 | 13 | 90 | -52 | 50 | 73 | 73 |
| -92 | -23 | 40 | 92 | -4 | 79 | 133 | 133 |
| -26 | 64 | 89 | 89 | -8 | 8 | 87 | 87 |
| -35 | 32 | 92 | 92 | -63 | 30 | 38 | 63 |
| -20 | 44 | 66 | 66 | -7 | 54 | 84 | 84 |
| -72 | -33 | 22 | 72 | -7 | 69 | 114 | 114 |
| -44 | -40 | 54 | 54 | -9 | 126 | 151 | 151 |
| -54 | -15 | 64 | 64 | -98 | -83 | 56 | 98 |
| -43 | 59 | 62 | 62 | -50 | 83 | 109 | 109 |
| -86 | -28 | 20 | 86 | -35 | 58 | 60 | 60 |
| -14 | 49 | 61 | 61 | -22 | 31 | 38 | 38 |
| -33 | 194 | 217 | 217 | -142 | -142 | 7 | 142 |
| -110 | -107 | 51 | 110 | -85 | -61 | 34 | 85 |
| -48 | 19 | 53 | 53 | -58 | 81 | 82 | 82 |
| -71 | 68 | 76 | 76 | -99 | -82 | 2 | 99 |
| -153 | -121 | 10 | 153 | -159 | -157 | 0 | 159 |
| -55 | -2 | 54 | 55 | -112 | -98 | 0 | 112 |
| -86 | -73 | 2 | 86 | -183 | -183 | 7 | 183 |
| -116 | -101 | 19 | 116 | -10 | 107 | 120 | 120 |
| -6 | 14 | 87 | 87 | -50 | -22 | 41 | 50 |
| 0 | 191 | 192 | 192 | -26 | 49 | 87 | 87 |
| -31 | 8 | 49 | 49 | -38 | 20 | 28 | 38 |
| -23 | 40 | 42 | 42 | -117 | -38 | 22 | 117 |
| -70 | -37 | 18 | 70 | -2 | 35 | 74 | 74 |
| -164 | -155 | 12 | 164 | -45 | 69 | 94 | 94 |
| -76 | 8 | 20 | 76 | -38 | 76 | 109 | 109 |
| -37 | -29 | 38 | 38 | -4 | 25 | 51 | 51 |
| -9 | 19 | 96 | 96 | -107 | -97 | 14 | 107 |
| -132 | -125 | 6 | 132 | -42 | -39 | 31 | 42 |
| -50 | 57 | 79 | 79 | -41 | 61 | 90 | 90 |
| -35 | 30 | 63 | 63 | -70 | -42 | 11 | 70 |
| -19 | 1 | 56 | 56 | -56 | -21 | 14 | 56 |
| -57 | -1 | 28 | 57 | -80 | -31 | 22 | 80 |
| -34 | -1 | 24 | 34 | -4 | 113 | 113 | 113 |
| -13 | 71 | 88 | 88 | -42 | 61 | 61 | 61 |
| -66 | -42 | 9 | 66 | -41 | 44 | 44 | 44 |
| -33 | -12 | 37 | 37 | -8 | -4 | 45 | 45 |
| -75 | 35 | 60 | 75 | -22 | -13 | 71 | 71 |
| -8 | 25 | 74 | 74 | -26 | 51 | 51 | 51 |
| -2 | 131 | 160 | 160 | -37 | -19 | 59 | 59 |
| -67 | 35 | 39 | 67 | -34 | 15 | 48 | 48 |
| -29 | 2 | 41 | 41 | -85 | -38 | 8 | 85 |
| -40 | 136 | 141 | 141 | -7 | 66 | 90 | 90 |
| -20 | 117 | 139 | 139 | -50 | -17 | 36 | 50 |
| -103 | -73 | 3 | 103 | -54 | -9 | 59 | 59 |
| -68 | -53 | 8 | 68 | -105 | 9 | 20 | 105 |
| -39 | 64 | 89 | 89 | -43 | 80 | 84 | 84 |
| -6 | 90 | 118 | 118 | -59 | -30 | 52 | 59 |
| -35 | -3 | 54 | 54 | -80 | 53 | 60 | 80 |
| -93 | 5 | 11 | 93 | -73 | -15 | 35 | 73 |
| -34 | 87 | 92 | 92 | -129 | -127 | 17 | 129 |
| -58 | -53 | 41 | 58 | -29 | 105 | 105 | 105 |
| -45 | 4 | 21 | 45 | -161 | -116 | 0 | 161 |
| -46 | -36 | 36 | 46 | -51 | -28 | 29 | 51 |
| -87 | -55 | 20 | 87 | -10 | 117 | 126 | 126 |
| -49 | 24 | 25 | 49 | -4 | 152 | 156 | 156 |
| -39 | -17 | 68 | 68 | -54 | -7 | 30 | 54 |
| -41 | 33 | 77 | 77 | -21 | 69 | 97 | 97 |
| -93 | -75 | 4 | 93 | -106 | -85 | 24 | 106 |
| -1 | 78 | 83 | 83 | -41 | 72 | 73 | 73 |
| -25 | 78 | 111 | 111 | -86 | -64 | 13 | 86 |
| -85 | -8 | 18 | 85 | -56 | 10 | 13 | 56 |
| -35 | 23 | 66 | 66 | -17 | 31 | 62 | 62 |
| -51 | 41 | 43 | 51 | -68 | -35 | 23 | 68 |
| -115 | -114 | 49 | 115 | -68 | -44 | 65 | 68 |
| -4 | 142 | 154 | 154 | -45 | 54 | 55 | 55 |
| -66 | -50 | 44 | 66 | -130 | -114 | 45 | 130 |
| -21 | 68 | 77 | 77 | -48 | -4 | 49 | 49 |
| -26 | -22 | 40 | 40 | -47 | 38 | 56 | 56 |
| -38 | -27 | 55 | 55 | -55 | 89 | 108 | 108 |
| -50 | -31 | 21 | 50 | -59 | -9 | 53 | 59 |
| -130 | -118 | 5 | 130 | -69 | -64 | 27 | 69 |
| -51 | 21 | 41 | 51 | -10 | 55 | 92 | 92 |
| -18 | 47 | 75 | 75 | -173 | -141 | 17 | 173 |
| -27 | 50 | 63 | 63 | -3 | 112 | 117 | 117 |
| -135 | -110 | 32 | 135 | -102 | -90 | 18 | 102 |
| -5 | 93 | 127 | 127 | -48 | 57 | 67 | 67 |
| -29 | 78 | 105 | 105 | -24 | 6 | 41 | 41 |
| -107 | -96 | 26 | 107 | -100 | -30 | 17 | 100 |
| -119 | -13 | 17 | 119 | -123 | -27 | 9 | 123 |
| -14 | 64 | 72 | 72 | -14 | -8 | 115 | 115 |
| -55 | 84 | 84 | 84 | -100 | -42 | 33 | 100 |
| -63 | -61 | 39 | 63 | -104 | -47 | 4 | 104 |
| -82 | -22 | 35 | 82 | -28 | 58 | 59 | 59 |
| -7 | 99 | 147 | 147 | -32 | 41 | 62 | 62 |
| -13 | 202 | 214 | 214 | -25 | 48 | 60 | 60 |
| -7 | 81 | 139 | 139 | -39 | 59 | 59 | 59 |
| -7 | 228 | 265 | 265 | -25 | 46 | 64 | 64 |
| -83 | 32 | 42 | 83 | -12 | 80 | 121 | 121 |
| -92 | 58 | 61 | 92 | -68 | -12 | 16 | 68 |
| -31 | -8 | 64 | 64 | -54 | 22 | 68 | 68 |
| -11 | 44 | 104 | 104 | -50 | 6 | 54 | 54 |
| -3 | 46 | 60 | 60 | 1 | 64 | 87 | 87 |
| -86 | -51 | 36 | 86 | -68 | -39 | 27 | 68 |
| -10 | 79 | 100 | 100 | -36 | 39 | 61 | 61 |
| -43 | -4 | 24 | 43 | -68 | -26 | 14 | 68 |
| -60 | -60 | 30 | 60 | -40 | 64 | 67 | 67 |
| -41 | 15 | 77 | 77 | -46 | -19 | 21 | 46 |
| -4 | 65 | 92 | 92 | -56 | 15 | 15 | 56 |
| -44 | -3 | 44 | 44 | -113 | -107 | 6 | 113 |
| -23 | 19 | 69 | 69 | -40 | 57 | 69 | 69 |
| -55 | -29 | 22 | 55 | -104 | -87 | 26 | 104 |
| -69 | -3 | 32 | 69 | -20 | 115 | 138 | 138 |
| -117 | -37 | 47 | 117 | -7 | 57 | 92 | 92 |
| -25 | 23 | 75 | 75 | -12 | 117 | 198 | 198 |
| -46 | -32 | 90 | 90 | -7 | 256 | 303 | 303 |
| -47 | -43 | 32 | 47 | -21 | 17 | 42 | 42 |
| -149 | -138 | 7 | 149 | -16 | 74 | 86 | 86 |
| -104 | -83 | 41 | 104 | -142 | -135 | 19 | 142 |
| -70 | -49 | 28 | 70 | -42 | 37 | 48 | 48 |
| -85 | -42 | 2 | 85 | -167 | -136 | 51 | 167 |
| -12 | 28 | 77 | 77 | -45 | 10 | 56 | 56 |
| -21 | 28 | 96 | 96 | -67 | -58 | 17 | 67 |
| -50 | -8 | 21 | 50 | -61 | -28 | 42 | 61 |
| -28 | -23 | 53 | 53 | -3 | 41 | 86 | 86 |
| -98 | -55 | -1 | 98 | -59 | -11 | 39 | 59 |
| -166 | -166 | 0 | 166 | -111 | -72 | 31 | 111 |
| -108 | -53 | 0 | 108 | -39 | -5 | 60 | 60 |
| -142 | -95 | 8 | 142 | -27 | -9 | 39 | 39 |
