| min | final | max | max abs |
| -1 | 10 | 31 | 31 |
| -77 | -74 | -1 | 77 |
| -71 | -50 | 0 | 71 |
| -9 | 32 | 36 | 36 |
| -9 | 6 | 23 | 23 |
| 1 | 46 | 56 | 56 |
| -15 | 38 | 71 | 71 |
| -10 | 50 | 65 | 65 |
| -46 | -36 | 6 | 46 |
| -1 | 54 | 59 | 59 |
| -16 | 24 | 33 | 33 |
| -22 | -2 | 8 | 22 |
| -1 | 54 | 69 | 69 |
| -20 | 6 | 25 | 25 |
| -46 | -16 | 4 | 46 |
| -8 | -6 | 22 | 22 |
| -26 | -4 | 28 | 28 |
| -61 | -58 | 12 | 61 |
| -17 | 10 | 30 | 30 |
| -25 | 26 | 38 | 38 |
| -22 | 0 | 33 | 33 |
| -15 | 16 | 32 | 32 |
| -44 | -34 | 17 | 44 |
| -20 | -2 | 22 | 22 |
| -3 | 36 | 44 | 44 |
| -16 | 30 | 55 | 55 |
| -10 | 4 | 34 | 34 |
| -7 | 12 | 25 | 25 |
| -3 | 42 | 48 | 48 |
| -39 | -22 | 11 | 39 |
| -50 | -40 | 11 | 50 |
| -26 | -14 | 13 | 26 |
| -13 | 4 | 23 | 23 |
| -15 | -10 | 27 | 27 |
| -12 | 18 | 29 | 29 |
| -18 | -4 | 11 | 18 |
| -21 | -8 | 13 | 21 |
| -57 | -52 | 1 | 57 |
| -17 | 20 | 22 | 22 |
| -56 | -30 | -1 | 56 |
| -8 | 54 | 57 | 57 |
| -36 | -34 | 22 | 36 |
| -28 | -28 | 17 | 28 |
| -66 | -60 | 2 | 66 |
| -21 | -6 | 19 | 21 |
| -69 | -40 | 4 | 69 |
| -47 | -20 | 0 | 47 |
| -11 | 2 | 37 | 37 |
| -26 | 28 | 28 | 28 |
| -62 | -62 | 9 | 62 |
| -12 | 30 | 31 | 31 |
| -70 | -54 | 4 | 70 |
| -4 | 18 | 37 | 37 |
| -1 | 44 | 65 | 65 |
| -15 | 38 | 42 | 42 |
| -37 | -10 | 8 | 37 |
| -17 | 4 | 26 | 26 |
| -18 | -2 | 21 | 21 |
| -19 | 2 | 21 | 21 |
| -6 | 42 | 49 | 49 |
| -58 | -42 | 12 | 58 |
| -44 | -14 | 7 | 44 |
| -22 | 26 | 29 | 29 |
| -3 | 50 | 60 | 60 |
| -29 | -14 | 1 | 29 |
| -7 | 6 | 35 | 35 |
| -53 | -52 | 14 | 53 |
| -9 | -4 | 23 | 23 |
| -40 | -30 | 0 | 40 |
| -27 | -12 | 5 | 27 |
| -50 | -42 | 18 | 50 |
| -3 | 22 | 65 | 65 |
| -38 | -20 | 2 | 38 |
| -4 | 18 | 37 | 37 |
| -79 | -76 | 1 | 79 |
| -44 | -34 | 13 | 44 |
| -27 | -18 | 15 | 27 |
| -55 | -30 | 3 | 55 |
| -51 | -16 | 22 | 51 |
| -28 | 0 | 5 | 28 |
| -35 | 12 | 17 | 35 |
| -4 | 38 | 63 | 63 |
| -22 | 26 | 40 | 40 |
| -19 | -14 | 25 | 25 |
| -14 | 42 | 50 | 50 |
| -12 | 12 | 27 | 27 |
| -65 | -64 | -1 | 65 |
| -45 | -44 | 19 | 45 |
| -28 | -24 | 8 | 28 |
| -52 | -18 | 5 | 52 |
| -2 | 70 | 78 | 78 |
| -20 | 8 | 16 | 20 |
| -9 | 54 | 65 | 65 |
| -66 | -52 | -1 | 66 |
| -14 | -10 | 24 | 24 |
| -28 | -12 | 11 | 28 |
| -53 | -32 | -1 | 53 |
| -44 | -18 | 13 | 44 |
| -31 | -4 | 10 | 31 |
| -14 | 10 | 34 | 34 |
| -8 | 8 | 32 | 32 |
| -76 | -62 | 6 | 76 |
| -18 | 44 | 48 | 48 |
| -4 | 34 | 37 | 37 |
| -5 | 22 | 31 | 31 |
| -28 | -22 | 29 | 29 |
| -16 | -2 | 22 | 22 |
| -4 | 48 | 55 | 55 |
| -37 | -28 | 17 | 37 |
| -52 | -50 | 3 | 52 |
| -15 | -2 | 21 | 21 |
| -31 | -22 | 17 | 31 |
| -13 | 6 | 25 | 25 |
| -30 | 8 | 8 | 30 |
| -5 | 14 | 29 | 29 |
| -28 | -16 | 11 | 28 |
| -47 | -30 | 9 | 47 |
| -4 | 32 | 36 | 36 |
| -44 | -32 | -1 | 44 |
| -23 | 30 | 52 | 52 |
| -4 | 22 | 40 | 40 |
| -23 | 20 | 34 | 34 |
| -84 | -84 | 3 | 84 |
| -39 | -24 | 9 | 39 |
| -61 | -44 | 19 | 61 |
| -9 | -8 | 32 | 32 |
| -58 | -54 | 25 | 58 |
| -41 | -26 | 2 | 41 |
| -12 | -12 | 34 | 34 |
| -18 | 0 | 14 | 18 |
| -27 | -8 | 10 | 27 |
| -22 | 14 | 17 | 22 |
| -13 | 2 | 27 | 27 |
| -8 | -2 | 41 | 41 |
| -17 | -2 | 4 | 17 |
| -14 | 34 | 37 | 37 |
| -19 | -6 | 19 | 19 |
| -18 | -6 | 16 | 18 |
| -33 | -26 | 10 | 33 |
| -27 | -24 | 29 | 29 |
| -10 | -6 | 30 | 30 |
| -32 | -2 | 6 | 32 |
| -37 | -26 | 11 | 37 |
| -10 | 8 | 27 | 27 |
| -1 | 6 | 37 | 37 |
| -28 | -16 | 15 | 28 |
| -58 | -54 | 4 | 58 |
| -37 | -8 | 19 | 37 |
| -1 | 36 | 46 | 46 |
| -15 | 36 | 36 | 36 |
| -2 | 70 | 71 | 71 |
| -77 | -50 | 2 | 77 |
| -30 | 4 | 10 | 30 |
| -41 | -30 | 17 | 41 |
| -24 | 20 | 23 | 24 |
| -55 | -54 | 8 | 55 |
| -46 | -38 | 1 | 46 |
| -13 | 0 | 32 | 32 |
| -7 | 4 | 32 | 32 |
| -47 | -44 | 8 | 47 |
| -15 | 2 | 13 | 15 |
| -35 | 2 | 9 | 35 |
| -32 | -2 | 2 | 32 |
| -5 | 10 | 25 | 25 |
| -22 | -20 | 34 | 34 |
| -14 | -14 | 28 | 28 |
| -9 | 54 | 72 | 72 |
| -33 | -22 | 7 | 33 |
| -18 | 18 | 28 | 28 |
| -30 | -8 | 10 | 30 |
| -35 | -26 | 7 | 35 |
| -26 | -24 | 10 | 26 |
| -17 | 22 | 23 | 23 |
| -14 | 4 | 40 | 40 |
| -20 | -16 | 15 | 20 |
| -12 | 0 | 23 | 23 |
| -43 | -30 | 1 | 43 |
| -2 | 22 | 41 | 41 |
| -24 | 20 | 21 | 24 |
| -1 | 26 | 43 | 43 |
| -52 | -38 | 8 | 52 |
| -2 | 14 | 34 | 34 |
| -45 | -36 | 4 | 45 |
| -13 | 16 | 29 | 29 |
| -9 | 18 | 44 | 44 |
| -30 | -10 | 13 | 30 |
| -12 | 2 | 10 | 12 |
| -36 | -26 | 12 | 36 |
| -52 | -36 | 2 | 52 |
| -4 | 12 | 39 | 39 |
| -12 | 14 | 29 | 29 |
| -52 | -46 | 10 | 52 |
| -16 | 24 | 32 | 32 |
| -31 | -12 | 31 | 31 |
| -53 | -28 | 18 | 53 |
| -43 | -26 | 5 | 43 |
| -18 | 10 | 23 | 23 |
| -5 | -4 | 35 | 35 |
| -11 | 38 | 45 | 45 |
| -39 | -18 | 4 | 39 |
| -24 | -22 | 15 | 24 |
| -41 | -32 | 2 | 41 |
| -3 | 58 | 65 | 65 |
| 0 | 16 | 32 | 32 |
| -76 | -76 | 2 | 76 |
| -44 | -24 | 3 | 44 |
| 0 | 74 | 74 | 74 |
| -29 | -2 | 14 | 29 |
| -13 | 12 | 24 | 24 |
| -48 | -32 | 2 | 48 |
| -8 | -8 | 30 | 30 |
| -23 | 20 | 37 | 37 |
| -17 | -2 | 25 | 25 |
| -25 | -4 | 26 | 26 |
| -7 | 0 | 16 | 16 |
| -53 | -40 | 2 | 53 |
| -31 | 4 | 13 | 31 |
| -19 | 26 | 31 | 31 |
| -60 | -32 | 6 | 60 |
| -32 | 4 | 21 | 32 |
| -10 | -4 | 22 | 22 |
| -40 | -10 | 0 | 40 |
| -24 | -18 | 10 | 24 |
| -44 | -36 | 8 | 44 |
| -1 | 26 | 33 | 33 |
| -17 | 24 | 37 | 37 |
| -18 | -18 | 30 | 30 |
| -43 | 0 | 12 | 43 |
| -13 | 28 | 28 | 28 |
| -20 | 22 | 26 | 26 |
| -5 | 2 | 36 | 36 |
| -9 | 30 | 71 | 71 |
| -14 | 18 | 21 | 21 |
| 0 | 50 | 59 | 59 |
| -4 | 22 | 39 | 39 |
| -16 | -12 | 23 | 23 |
| -10 | 18 | 20 | 20 |
| -32 | -6 | 7 | 32 |
| -25 | 8 | 15 | 25 |
| -16 | 26 | 26 | 26 |
| -32 | -30 | 6 | 32 |
| -50 | -44 | 9 | 50 |
| -15 | 14 | 17 | 17 |
| -29 | -16 | 21 | 29 |
| -75 | -48 | 0 | 75 |
| -34 | 0 | 6 | 34 |
| -29 | 10 | 13 | 29 |
| -101 | -88 | 5 | 101 |
| -39 | -24 | 5 | 39 |
| -16 | 36 | 36 | 36 |
| -40 | -10 | 16 | 40 |
| -33 | 4 | 6 | 33 |
| -64 | -50 | 4 | 64 |
| -51 | -42 | 3 | 51 |
| -47 | -40 | 1 | 47 |
| -17 | -12 | 18 | 18 |
| 1 | 48 | 53 | 53 |
| -16 | 36 | 51 | 51 |
| -40 | -28 | 16 | 40 |
| -6 | 18 | 58 | 58 |
| -21 | -16 | 12 | 21 |
| -7 | -6 | 36 | 36 |
| -3 | 10 | 28 | 28 |
| -65 | -52 | 7 | 65 |
| -35 | -34 | 16 | 35 |
| -30 | -2 | 9 | 30 |
| -21 | -20 | 19 | 21 |
| -41 | -40 | 8 | 41 |
| -56 | -54 | 3 | 56 |
| -48 | -48 | 12 | 48 |
| -10 | 28 | 43 | 43 |
| 0 | 54 | 65 | 65 |
| -5 | 8 | 29 | 29 |
| -13 | 8 | 18 | 18 |
| -33 | -32 | 12 | 33 |
| -42 | -34 | 3 | 42 |
| -4 | 2 | 36 | 36 |
| -20 | -12 | 14 | 20 |
| -5 | 28 | 33 | 33 |
| -26 | -14 | 17 | 26 |
| -51 | -48 | 21 | 51 |
| -47 | -8 | 20 | 47 |
| -53 | -48 | 1 | 53 |
| -7 | 14 | 33 | 33 |
| -24 | -12 | 5 | 24 |
| -13 | -2 | 17 | 17 |
| -16 | -6 | 29 | 29 |
| -8 | -8 | 34 | 34 |
| -18 | 24 | 26 | 26 |
| -1 | 10 | 39 | 39 |
| -55 | -34 | 1 | 55 |
| -30 | -14 | 15 | 30 |
| -11 | -10 | 45 | 45 |
| -20 | 8 | 11 | 20 |
| -26 | -10 | 11 | 26 |
| -10 | 0 | 18 | 18 |
| -13 | 0 | 18 | 18 |
| -47 | -32 | 2 | 47 |
| -39 | -26 | 13 | 39 |
| -19 | -12 | 43 | 43 |
| -47 | -24 | 4 | 47 |
| -25 | 4 | 9 | 25 |
| -63 | -48 | -1 | 63 |
| -19 | 12 | 14 | 19 |
| -9 | 32 | 41 | 41 |
| -79 | -64 | 11 | 79 |
| -1 | 50 | 64 | 64 |
| -64 | -62 | 0 | 64 |
| -3 | 24 | 28 | 28 |
| -36 | -24 | 7 | 36 |
| -12 | -4 | 16 | 16 |
| -4 | 58 | 61 | 61 |
| -6 | 12 | 27 | 27 |
| -32 | -20 | 14 | 32 |
| -13 | 60 | 60 | 60 |
| -33 | -22 | 16 | 33 |
| -12 | 10 | 22 | 22 |
| -43 | -28 | 7 | 43 |
| -36 | -20 | 6 | 36 |
| -27 | 0 | 13 | 27 |
| -23 | -6 | 12 | 23 |
| -5 | 16 | 22 | 22 |
| -22 | -8 | 4 | 22 |
| -12 | 50 | 56 | 56 |
| -16 | 16 | 39 | 39 |
| -31 | -28 | 10 | 31 |
| -10 | 36 | 55 | 55 |
| -45 | 16 | 19 | 45 |
| -34 | -24 | 5 | 34 |
| -10 | 32 | 36 | 36 |
| -42 | -10 | 1 | 42 |
| -43 | -42 | 8 | 43 |
| -73 | -72 | 7 | 73 |
| -1 | 20 | 44 | 44 |
| -5 | 72 | 77 | 77 |
| -5 | -4 | 22 | 22 |
| -40 | -16 | 2 | 40 |
| -28 | 10 | 12 | 28 |
| -5 | 34 | 40 | 40 |
| -35 | -18 | 17 | 35 |
| -4 | 12 | 37 | 37 |
| -24 | 2 | 19 | 24 |
| -5 | 60 | 61 | 61 |
| -4 | 28 | 46 | 46 |
| -42 | -34 | 1 | 42 |
| -56 | -38 | 1 | 56 |
| -4 | 0 | 25 | 25 |
| -17 | -14 | 34 | 34 |
| -60 | -58 | 1 | 60 |
| -30 | -10 | 11 | 30 |
| -30 | 16 | 17 | 30 |
| -2 | 54 | 58 | 58 |
| -27 | 28 | 28 | 28 |
| -45 | 10 | 16 | 45 |
| -36 | -14 | 2 | 36 |
| -29 | -18 | 2 | 29 |
| -22 | -12 | 32 | 32 |
| -78 | -72 | 3 | 78 |
| -34 | -32 | 7 | 34 |
| -28 | -26 | 15 | 28 |
| -5 | 16 | 39 | 39 |
| -13 | 30 | 34 | 34 |
| -21 | 26 | 31 | 31 |
| -26 | 2 | 15 | 26 |
| -13 | 24 | 32 | 32 |
| -26 | 10 | 16 | 26 |
| -41 | -16 | 1 | 41 |
| 0 | 80 | 81 | 81 |
| -29 | -20 | 5 | 29 |
| -54 | -34 | 22 | 54 |
| -13 | 26 | 35 | 35 |
| -50 | -14 | 5 | 50 |
| -74 | -72 | 11 | 74 |
| -12 | 30 | 36 | 36 |
| -6 | 36 | 64 | 64 |
| -24 | -2 | 11 | 24 |
| -41 | -24 | 7 | 41 |
| -24 | 12 | 14 | 24 |
| -19 | 0 | 18 | 19 |
| -43 | -30 | 17 | 43 |
| -67 | -56 | 2 | 67 |
| -7 | 22 | 44 | 44 |
| -54 | -48 | 22 | 54 |
| -28 | -14 | 12 | 28 |
| -1 | 22 | 33 | 33 |
| -43 | -16 | 1 | 43 |
| -36 | -30 | 19 | 36 |
| -2 | 18 | 39 | 39 |
| -24 | -2 | 2 | 24 |
| -54 | -46 | 3 | 54 |
| -22 | -6 | 16 | 22 |
| -2 | 46 | 51 | 51 |
| -8 | 20 | 32 | 32 |
| 1 | 26 | 60 | 60 |
| -34 | 12 | 15 | 34 |
| -18 | 4 | 24 | 24 |
| -9 | 58 | 63 | 63 |
| -33 | -32 | 10 | 33 |
| -29 | -10 | 19 | 29 |
| -7 | 50 | 54 | 54 |
| -23 | 26 | 35 | 35 |
| -15 | 10 | 16 | 16 |
| -20 | -6 | 10 | 20 |
| -37 | -32 | 14 | 37 |
| -22 | -6 | 26 | 26 |
| -40 | -18 | 19 | 40 |
| -9 | 14 | 40 | 40 |
| -18 | 4 | 21 | 21 |
| -28 | 12 | 16 | 28 |
| -3 | 40 | 41 | 41 |
| -3 | 26 | 64 | 64 |
| -73 | -56 | 6 | 73 |
| -45 | -24 | 2 | 45 |
| -13 | 40 | 46 | 46 |
| -48 | -26 | 12 | 48 |
| -23 | -8 | 24 | 24 |
| -29 | 8 | 10 | 29 |
| -23 | 52 | 58 | 58 |
| -37 | -24 | 17 | 37 |
| -1 | 42 | 54 | 54 |
| -13 | 18 | 30 | 30 |
| -52 | -42 | 14 | 52 |
| -49 | -20 | 9 | 49 |
| -48 | -14 | 9 | 48 |
| -11 | 14 | 22 | 22 |
| -12 | 64 | 64 | 64 |
| -21 | 14 | 20 | 21 |
| -40 | -20 | 0 | 40 |
| -32 | -30 | 4 | 32 |
| -41 | -4 | 3 | 41 |
| -14 | 6 | 24 | 24 |
| -25 | -10 | 6 | 25 |
| -10 | 80 | 84 | 84 |
| -3 | 16 | 28 | 28 |
| -29 | -4 | 11 | 29 |
| -61 | -54 | 9 | 61 |
| -28 | -28 | 17 | 28 |
| -48 | -30 | 5 | 48 |
| -2 | 24 | 45 | 45 |
| -62 | -44 | 2 | 62 |
| -24 | 0 | 11 | 24 |
| -14 | -6 | 16 | 16 |
| 1 | 46 | 65 | 65 |
| -21 | -12 | 22 | 22 |
| -51 | -30 | 8 | 51 |
| -26 | -18 | 6 | 26 |
| -9 | 10 | 32 | 32 |
| -48 | -22 | 0 | 48 |
| -22 | 48 | 54 | 54 |
| -30 | -18 | 15 | 30 |
| -3 | 6 | 34 | 34 |
| -17 | 46 | 47 | 47 |
| -6 | 44 | 68 | 68 |
| -9 | 56 | 57 | 57 |
| -17 | 4 | 8 | 17 |
| -6 | 64 | 67 | 67 |
| -7 | 32 | 49 | 49 |
| -26 | -8 | 19 | 26 |
| -62 | -58 | 8 | 62 |
| -12 | 20 | 43 | 43 |
| -4 | 52 | 58 | 58 |
| -20 | -6 | 19 | 20 |
| -42 | -22 | 4 | 42 |
| -41 | 0 | 8 | 41 |
| -2 | 28 | 60 | 60 |
| -13 | 14 | 32 | 32 |
| -56 | -4 | -1 | 56 |
| -37 | -12 | 3 | 37 |
| -36 | -22 | 23 | 36 |
| -33 | -10 | 10 | 33 |
| -26 | -26 | 15 | 26 |
| -9 | 12 | 20 | 20 |
| -4 | 58 | 62 | 62 |
| -47 | -14 | 1 | 47 |
| -46 | -18 | 5 | 46 |
| -20 | 34 | 41 | 41 |
| -17 | 18 | 26 | 26 |
| -19 | -2 | 14 | 19 |
| -59 | -50 | 3 | 59 |
| -1 | 52 | 54 | 54 |
| -18 | 28 | 37 | 37 |
| -9 | 2 | 17 | 17 |
| -11 | -2 | 21 | 21 |
| -11 | 6 | 17 | 17 |
| -11 | 30 | 36 | 36 |
| -16 | 6 | 23 | 23 |
| 0 | 44 | 56 | 56 |
| -37 | 20 | 30 | 37 |
| -20 | -10 | 16 | 20 |
| -14 | 50 | 76 | 76 |
| -1 | 70 | 72 | 72 |
| -7 | 20 | 32 | 32 |
| -38 | -32 | 2 | 38 |
| -44 | -36 | 3 | 44 |
| -35 | 2 | 10 | 35 |
| -47 | -40 | 15 | 47 |
| -32 | -24 | 29 | 32 |
| -2 | 12 | 33 | 33 |
| 1 | 36 | 39 | 39 |
| -21 | -18 | 18 | 21 |
| -7 | 22 | 32 | 32 |
| -51 | -34 | 1 | 51 |
| -53 | -52 | 15 | 53 |
| -39 | -38 | 5 | 39 |
| -16 | 0 | 22 | 22 |
| -14 | -2 | 20 | 20 |
| -43 | -40 | 0 | 43 |
| -23 | -4 | 16 | 23 |
| -1 | 32 | 48 | 48 |
| -38 | -32 | 6 | 38 |
| -30 | -18 | 17 | 30 |
| -19 | 42 | 42 | 42 |
| -27 | -2 | 10 | 27 |
| -15 | 30 | 34 | 34 |
| -38 | 12 | 14 | 38 |
| -12 | 30 | 39 | 39 |
| -25 | -8 | 12 | 25 |
| -27 | -14 | 21 | 27 |
| -4 | 34 | 38 | 38 |
| -49 | -48 | 4 | 49 |
| -11 | 26 | 27 | 27 |
| 0 | 48 | 78 | 78 |
| -41 | -32 | 4 | 41 |
| -20 | 14 | 24 | 24 |
| -42 | -32 | 6 | 42 |
| -5 | 44 | 56 | 56 |
| -36 | -10 | 28 | 36 |
| -20 | 66 | 70 | 70 |
| -40 | -34 | 11 | 40 |
| -19 | 4 | 16 | 19 |
| -37 | -22 | 6 | 37 |
| -9 | 6 | 23 | 23 |
| -28 | -6 | 16 | 28 |
| -5 | 36 | 44 | 44 |
| -44 | -40 | 2 | 44 |
| -13 | 30 | 39 | 39 |
| -1 | 22 | 55 | 55 |
| -17 | 22 | 30 | 30 |
| -33 | 14 | 15 | 33 |
| -5 | 46 | 56 | 56 |
| -37 | -28 | 4 | 37 |
| -28 | 20 | 31 | 31 |
| -11 | 12 | 19 | 19 |
| -39 | -28 | 11 | 39 |
| -16 | 32 | 34 | 34 |
| -6 | 36 | 52 | 52 |
| -12 | 42 | 49 | 49 |
| 0 | 56 | 62 | 62 |
| -36 | -12 | 5 | 36 |
| -60 | -52 | 4 | 60 |
| -87 | -80 | 19 | 87 |
| -4 | 38 | 53 | 53 |
| -33 | 12 | 22 | 33 |
| -41 | -2 | 3 | 41 |
| -34 | -32 | 8 | 34 |
| -10 | -4 | 26 | 26 |
| -36 | -26 | 21 | 36 |
| -33 | -14 | 15 | 33 |
| -3 | 0 | 35 | 35 |
| -6 | 28 | 48 | 48 |
| -87 | -48 | 3 | 87 |
| -53 | -44 | 18 | 53 |
| -8 | -2 | 24 | 24 |
| -15 | 10 | 29 | 29 |
| -10 | 44 | 52 | 52 |
| -16 | 6 | 30 | 30 |
| -14 | 6 | 30 | 30 |
| -55 | -44 | 12 | 55 |
| -2 | 20 | 37 | 37 |
| -49 | -44 | 5 | 49 |
| -7 | 44 | 55 | 55 |
| -4 | 14 | 33 | 33 |
| -6 | 28 | 39 | 39 |
| -14 | 38 | 39 | 39 |
| -17 | 58 | 60 | 60 |
| -17 | 6 | 33 | 33 |
| -6 | 60 | 70 | 70 |
| -24 | 28 | 31 | 31 |
| -68 | -52 | 2 | 68 |
| -9 | 36 | 46 | 46 |
| -12 | 20 | 26 | 26 |
| -41 | -22 | 12 | 41 |
| -32 | 10 | 15 | 32 |
| -54 | -30 | 0 | 54 |
| -54 | -50 | 1 | 54 |
| -39 | -24 | 1 | 39 |
| -4 | 12 | 25 | 25 |
| -42 | -26 | 19 | 42 |
| -9 | 26 | 38 | 38 |
| -10 | 48 | 52 | 52 |
| -13 | 28 | 32 | 32 |
| -32 | 2 | 21 | 32 |
| -41 | -36 | 0 | 41 |
| -6 | 20 | 23 | 23 |
| -20 | 4 | 9 | 20 |
| -26 | -2 | 10 | 26 |
| -55 | -44 | 5 | 55 |
| -30 | -6 | 16 | 30 |
| -25 | 10 | 27 | 27 |
| -3 | 64 | 71 | 71 |
| -19 | 58 | 60 | 60 |
| -56 | -40 | 8 | 56 |
| -17 | -14 | 32 | 32 |
| -9 | -6 | 30 | 30 |
| -30 | -6 | 7 | 30 |
| -12 | 50 | 69 | 69 |
| -6 | 38 | 50 | 50 |
| -9 | 30 | 47 | 47 |
| -41 | -32 | 6 | 41 |
